District,Year,Respiratory_Cases,Emergency_Visits,Hospital_Admissions,Avg_Treatment_Cost_NPR
Rupandehi,2023,232,153,79,27127
Rupandehi,2020,140,136,80,20391
Rupandehi,2026,895,79,67,35682
Rupandehi,2025,469,116,48,38346
Rupandehi,2020,368,18,70,7674
Rupandehi,2022,857,32,40,46854
Rupandehi,2019,803,137,39,15593
Rupandehi,2023,889,191,31,12353
Rupandehi,2019,603,14,75,47437
Rupandehi,2021,863,93,77,21598
Rupandehi,2024,826,71,56,30786
Rupandehi,2025,149,58,60,12504
Rupandehi,2023,577,131,85,17878
Rupandehi,2019,363,114,23,23320
Rupandehi,2024,535,96,21,39423
Rupandehi,2025,710,56,50,12569
Rupandehi,2024,97,146,71,6093
Rupandehi,2023,814,192,93,8713
Rupandehi,2026,473,176,26,21027
Rupandehi,2025,802,109,13,25826
Rupandehi,2026,599,178,63,33150
Rupandehi,2022,116,106,90,8646
Rupandehi,2025,671,195,8,49553
Rupandehi,2025,960,79,55,48259
Rupandehi,2025,801,74,17,26731
Rupandehi,2025,305,178,77,44660
Rupandehi,2025,532,64,26,26616
Rupandehi,2026,141,168,11,34990
Rupandehi,2022,303,28,17,10203
Rupandehi,2020,443,36,17,5731
Rupandehi,2024,61,140,71,11051
Rupandehi,2022,685,116,47,48568
Rupandehi,2025,502,19,63,25224
Rupandehi,2024,776,103,20,20000
Rupandehi,2023,170,48,32,37855
Rupandehi,2023,529,39,10,15598
Rupandehi,2021,466,103,31,8344
Rupandehi,2020,639,74,95,11394
Rupandehi,2024,684,86,62,14241
Rupandehi,2023,189,182,56,42071
Rupandehi,2019,50,98,86,45710
Rupandehi,2023,795,43,74,40972
Rupandehi,2020,283,40,39,36844
Rupandehi,2026,380,11,53,43118
Rupandehi,2026,401,58,60,7436
Rupandehi,2024,855,165,44,41716
Rupandehi,2020,741,194,80,9969
Rupandehi,2020,787,36,71,22713
Rupandehi,2026,284,94,96,35004
Rupandehi,2024,905,21,88,12502
Rupandehi,2020,446,52,58,45370
Rupandehi,2025,410,52,23,9132
Rupandehi,2022,864,34,41,47467
Rupandehi,2019,848,196,15,23098
Rupandehi,2019,667,169,17,33640
Rupandehi,2020,100,11,66,5058
Rupandehi,2025,52,98,97,49205
Rupandehi,2020,310,45,36,6931
Rupandehi,2026,577,86,26,25995
Rupandehi,2019,513,158,38,23419
Rupandehi,2020,642,132,24,29546
Rupandehi,2019,293,69,47,7149
Rupandehi,2026,469,188,8,9297
Rupandehi,2023,368,53,75,45693
Rupandehi,2020,902,192,87,17334
Rupandehi,2021,254,36,16,9360
Rupandehi,2026,255,93,90,8026
Rupandehi,2021,613,86,88,5817
Rupandehi,2019,430,22,35,26000
Rupandehi,2020,93,92,23,22912
Rupandehi,2022,186,90,63,18852
Rupandehi,2025,627,66,50,19100
Rupandehi,2021,379,75,97,40340
Rupandehi,2020,458,29,55,13752
Rupandehi,2020,281,195,64,37285
Rupandehi,2023,392,39,47,38697
Rupandehi,2020,822,131,60,48265
Rupandehi,2023,372,13,59,43546
Rupandehi,2020,599,198,5,5356
Rupandehi,2025,405,18,52,41917
Rupandehi,2019,341,195,98,6736
Rupandehi,2026,286,96,26,44382
Rupandehi,2019,655,64,71,30948
Rupandehi,2021,743,106,17,22755
Rupandehi,2021,259,172,68,9630
Rupandehi,2020,234,162,74,43628
Rupandehi,2025,728,40,47,37001
Rupandehi,2024,510,186,28,19667
Rupandehi,2021,149,94,50,28012
Rupandehi,2019,928,48,52,43481
Rupandehi,2024,674,158,71,27109
Rupandehi,2024,770,160,41,34115
Rupandehi,2025,842,76,24,10581
Rupandehi,2020,893,65,55,6957
Rupandehi,2026,582,105,42,18842
Rupandehi,2020,595,116,9,40150
Rupandehi,2022,244,41,63,43302
Rupandehi,2021,224,193,37,17141
Rupandehi,2022,79,127,25,45059
Rupandehi,2019,928,146,59,48455
Rupandehi,2025,688,105,78,16009
Rupandehi,2021,168,87,79,49400
Rupandehi,2023,885,166,80,41056
Rupandehi,2024,527,105,58,18805
Rupandehi,2021,132,36,96,48477
Rupandehi,2026,753,127,79,37168
Rupandehi,2021,891,69,68,9007
Rupandehi,2025,832,17,74,11995
Rupandehi,2020,426,32,88,43697
Rupandehi,2023,826,64,12,16442
Rupandehi,2024,891,147,83,28413
Rupandehi,2026,97,30,17,42537
Rupandehi,2022,929,145,28,17373
Rupandehi,2019,234,138,64,16578
Rupandehi,2019,153,53,19,37778
Rupandehi,2026,712,173,99,5538
Rupandehi,2024,768,182,29,34770
Rupandehi,2024,378,30,82,11177
Rupandehi,2023,536,168,32,25328
Rupandehi,2019,84,138,72,41804
Rupandehi,2022,410,70,14,30362
Rupandehi,2022,275,73,52,22201
Rupandehi,2020,660,150,70,15044
Rupandehi,2026,143,161,6,22054
Rupandehi,2025,634,106,12,41395
Rupandehi,2024,100,121,77,11449
Rupandehi,2024,903,66,17,26971
Rupandehi,2023,764,116,70,30286
Rupandehi,2026,768,185,82,40710
Rupandehi,2024,831,164,19,6377
Rupandehi,2024,153,149,57,5856
Rupandehi,2024,103,21,92,37967
Rupandehi,2026,359,121,74,42425
Rupandehi,2022,190,171,18,34735
Rupandehi,2020,568,188,40,19283
Rupandehi,2023,175,40,58,45755
Rupandehi,2022,453,20,64,32917
Rupandehi,2021,599,128,8,27972
Rupandehi,2022,185,18,37,49411
Rupandehi,2021,590,116,82,10956
Rupandehi,2020,730,147,20,47569
Rupandehi,2021,949,118,15,6119
Rupandehi,2022,157,120,42,47935
Rupandehi,2020,839,31,70,18733
Rupandehi,2025,626,153,57,47475
Rupandehi,2022,770,53,99,11497
Rupandehi,2020,482,101,77,31300
Rupandehi,2025,295,28,7,27245
Rupandehi,2026,876,66,71,33177
Rupandehi,2024,94,58,72,28015
Rupandehi,2026,201,77,90,37128
Rupandehi,2024,687,186,50,37262
Rupandehi,2024,672,96,89,7382
Rupandehi,2026,359,97,13,18531
Rupandehi,2019,898,114,95,13313
Rupandehi,2021,814,96,29,15275
Rupandehi,2023,935,23,37,31864
Rupandehi,2025,428,194,41,30192
Rupandehi,2025,855,157,43,18449
Rupandehi,2022,523,191,69,8879
Rupandehi,2024,237,99,28,10174
Rupandehi,2019,637,137,99,27437
Rupandehi,2019,928,18,88,13002
Rupandehi,2019,258,124,83,31978
Rupandehi,2024,490,180,53,11866
Rupandehi,2024,555,173,36,47868
Rupandehi,2022,732,98,39,6653
Rupandehi,2021,784,67,23,31955
Rupandehi,2026,321,42,59,31597
Rupandehi,2022,624,106,81,30871
Rupandehi,2024,371,50,66,31225
Rupandehi,2026,374,175,55,14840
Rupandehi,2019,306,17,89,24070
Rupandehi,2021,771,175,67,31875
Rupandehi,2026,89,24,28,17625
Rupandehi,2021,930,91,9,34494
Rupandehi,2023,333,13,6,11093
Rupandehi,2020,957,99,99,40701
Rupandehi,2019,218,62,31,15805
Rupandehi,2020,414,197,47,35407
Rupandehi,2023,716,159,41,33916
Rupandehi,2025,814,49,74,19606
Rupandehi,2026,171,15,96,29875
Rupandehi,2026,751,117,24,18217
Rupandehi,2020,101,129,90,40487
Rupandehi,2025,81,148,47,27106
Rupandehi,2021,920,168,80,7763
Rupandehi,2020,819,128,68,43052
Rupandehi,2025,910,167,15,18981
Rupandehi,2022,812,98,88,46801
Rupandehi,2023,660,149,45,17092
Rupandehi,2019,297,199,55,48345
Rupandehi,2023,955,140,26,49402
Rupandehi,2024,590,14,14,13188
Rupandehi,2019,85,180,61,24836
Rupandehi,2019,369,169,99,28612
Rupandehi,2025,596,187,9,13186
Rupandehi,2024,681,87,45,19376
Rupandehi,2025,272,185,42,16195
Rupandehi,2020,272,45,98,27889
Rupandehi,2025,394,137,33,26635
Rupandehi,2023,455,88,34,34606
Rupandehi,2023,912,141,73,9544
Rupandehi,2022,608,19,86,9179
Rupandehi,2019,954,29,53,29738
Rupandehi,2026,428,95,91,33913
Rupandehi,2019,528,31,75,18295
Rupandehi,2024,55,28,21,13792
Rupandehi,2025,461,132,94,5073
Rupandehi,2024,167,42,21,37389
Rupandehi,2026,702,38,64,18891
Rupandehi,2024,420,136,54,18874
Rupandehi,2019,504,74,92,49247
Rupandehi,2019,857,29,49,45274
Rupandehi,2022,206,131,82,45665
Rupandehi,2023,519,146,21,17545
Rupandehi,2019,686,130,23,39113
Rupandehi,2021,272,118,62,44644
Rupandehi,2019,76,91,23,30645
Rupandehi,2026,927,105,18,8238
Rupandehi,2025,637,35,68,33999
Rupandehi,2022,704,173,11,11426
Rupandehi,2025,131,68,86,36657
Rupandehi,2019,288,33,56,27922
Rupandehi,2020,320,75,36,43967
Rupandehi,2026,629,19,48,48288
Rupandehi,2023,456,145,42,25018
Rupandehi,2020,250,118,60,18138
Rupandehi,2025,450,77,18,49144
Rupandehi,2020,84,126,74,39761
Rupandehi,2025,420,134,22,43009
Rupandehi,2022,87,86,67,40871
Rupandehi,2023,410,139,40,25913
Rupandehi,2021,459,91,24,45950
Rupandehi,2024,680,18,34,6616
Rupandehi,2022,621,61,73,27411
Rupandehi,2021,147,144,81,18677
Rupandehi,2026,778,30,15,21977
Rupandehi,2024,648,122,31,41088
Rupandehi,2021,554,185,41,17428
Rupandehi,2025,229,68,83,18633
Rupandehi,2026,575,156,46,20829
Rupandehi,2022,273,82,75,33784
Rupandehi,2022,141,85,42,26344
Rupandehi,2021,54,112,67,17582
Rupandehi,2023,794,48,66,40235
Rupandehi,2023,941,62,87,6753
Rupandehi,2019,541,133,48,36821
Rupandehi,2023,773,156,32,11617
Rupandehi,2020,960,177,70,49222
Rupandehi,2022,534,86,95,25509
Rupandehi,2019,191,105,89,25890
Rupandehi,2026,569,51,11,48175
Rupandehi,2021,357,148,59,29915
Rupandehi,2024,246,127,88,19924
Rupandehi,2021,579,74,22,15743
Rupandehi,2022,682,98,79,42826
Rupandehi,2025,620,46,87,17540
Rupandehi,2021,201,50,47,23450
Rupandehi,2022,73,24,53,5295
Rupandehi,2023,809,176,41,18330
Rupandehi,2024,787,149,63,22702
Rupandehi,2020,507,64,56,44308
Rupandehi,2023,201,148,44,22492
Rupandehi,2021,435,149,56,31106
Rupandehi,2023,805,161,6,36340
Rupandehi,2023,942,51,33,11164
Rupandehi,2024,267,77,25,39811
Rupandehi,2026,593,29,86,35643
Rupandehi,2026,86,57,55,13319
Rupandehi,2019,256,52,86,31092
Rupandehi,2023,839,92,74,49696
Rupandehi,2026,490,145,62,5860
Rupandehi,2022,294,164,49,37727
Rupandehi,2020,349,100,58,28138
Rupandehi,2026,199,114,37,10165
Rupandehi,2021,204,33,54,46522
Rupandehi,2020,646,146,93,44652
Rupandehi,2026,510,60,40,26755
Rupandehi,2023,811,169,33,17248
Rupandehi,2024,673,14,87,30803
Rupandehi,2025,608,177,21,38763
Rupandehi,2023,630,39,12,23203
Rupandehi,2019,725,120,98,34978
Rupandehi,2020,96,196,29,20697
Rupandehi,2020,66,140,7,13244
Rupandehi,2020,515,152,46,43102
Rupandehi,2021,575,49,10,16234
Rupandehi,2024,444,65,70,45014
Rupandehi,2021,410,199,82,16651
Rupandehi,2019,443,162,79,49367
Rupandehi,2019,843,177,94,46101
Rupandehi,2026,716,145,72,35338
Rupandehi,2019,95,144,76,36033
Rupandehi,2019,261,48,35,18225
Rupandehi,2025,467,175,43,22439
Rupandehi,2024,421,183,28,38571
Rupandehi,2022,114,122,45,32028
Rupandehi,2023,584,62,80,6187
Rupandehi,2023,749,179,68,15844
Rupandehi,2024,660,168,10,9534
Rupandehi,2025,566,185,81,29598
Rupandehi,2022,363,22,97,11669
Rupandehi,2019,579,112,49,25299
Rupandehi,2019,933,62,28,10700
Rupandehi,2019,172,74,29,32937
Rupandehi,2024,579,104,86,33965
Rupandehi,2024,316,188,51,46983
Rupandehi,2023,60,107,48,23535
Rupandehi,2026,593,138,95,41085
Rupandehi,2020,953,75,74,14049
Rupandehi,2023,908,11,9,13922
Rupandehi,2026,572,176,48,27169
Rupandehi,2020,853,23,40,36214
Rupandehi,2022,562,21,90,41368
Rupandehi,2022,892,36,35,41996
Rupandehi,2022,917,190,92,44581
Rupandehi,2021,266,54,65,29291
Rupandehi,2024,445,140,55,42625
Rupandehi,2020,590,83,10,48578
Rupandehi,2023,701,43,7,30922
Rupandehi,2022,407,56,45,11094
Rupandehi,2023,294,86,85,27036
Rupandehi,2024,171,137,27,15926
Rupandehi,2022,81,116,95,12760
Rupandehi,2024,709,55,32,9577
Rupandehi,2023,752,75,51,18008
Rupandehi,2026,694,119,39,7573
Rupandehi,2022,579,18,92,42571
Rupandehi,2023,763,18,88,20673
Rupandehi,2023,165,115,74,18810
Rupandehi,2019,557,48,51,42153
Rupandehi,2020,389,182,64,38744
Rupandehi,2022,523,132,35,48161
Rupandehi,2022,864,149,35,38353
Rupandehi,2022,583,171,64,25385
Rupandehi,2025,574,161,30,10229
Rupandehi,2023,664,157,93,35712
Rupandehi,2024,311,196,5,28371
Rupandehi,2024,68,173,48,46132
Rupandehi,2025,422,74,80,19020
Rupandehi,2019,699,16,46,11928
Rupandehi,2021,405,42,41,5322
Rupandehi,2023,408,104,11,7426
Rupandehi,2019,363,108,34,38068
Rupandehi,2022,422,13,86,39324
Rupandehi,2024,470,58,45,22537
Rupandehi,2024,669,68,26,15963
Rupandehi,2021,839,164,28,45168
Rupandehi,2023,693,43,15,12350
Rupandehi,2021,427,170,58,38507
Rupandehi,2026,673,158,12,19109
Rupandehi,2019,852,67,23,30354
Rupandehi,2025,326,169,73,37570
Rupandehi,2026,245,195,84,43048
Rupandehi,2020,755,99,44,46439
Rupandehi,2025,431,85,51,10313
Rupandehi,2026,616,176,82,35277
Rupandehi,2025,130,32,21,40298
Rupandehi,2024,472,18,9,37023
Rupandehi,2025,126,132,10,40923
Rupandehi,2021,521,178,53,30475
Rupandehi,2024,852,126,5,40878
Rupandehi,2024,718,50,94,21442
Rupandehi,2024,947,84,63,31690
Rupandehi,2019,393,122,74,6225
Rupandehi,2026,334,69,5,7895
Rupandehi,2024,334,164,10,27451
Rupandehi,2025,603,59,84,37123
Rupandehi,2023,760,145,80,43927
Rupandehi,2023,543,117,41,27871
Rupandehi,2023,172,95,85,21792
Rupandehi,2024,465,93,13,26882
Rupandehi,2020,740,53,54,33032
Rupandehi,2019,204,186,88,38612
Rupandehi,2026,359,64,80,43396
Rupandehi,2024,784,144,54,24071
Kaski,2022,998,100,92,11684
Kaski,2024,998,104,81,42657
Kaski,2022,997,92,38,24426
Kaski,2025,997,52,46,16785
Kaski,2019,997,14,63,15814
Kaski,2022,997,66,63,24983
Kaski,2021,996,192,24,7318
Kaski,2021,996,138,97,43090
Kaski,2025,996,82,15,8113
Kaski,2023,993,24,13,36831
Kaski,2026,992,142,23,25765
Kaski,2022,992,50,72,40445
Kaski,2025,991,42,23,33266
Kaski,2023,991,175,44,49878
Kaski,2025,991,166,8,16095
Kaski,2020,990,118,92,12803
Kaski,2019,989,199,63,28590
Kaski,2023,989,158,17,38987
Kaski,2026,988,33,92,21980
Kaski,2023,987,52,85,49479
Kaski,2019,987,56,24,7719
Kaski,2021,987,21,56,30084
Kaski,2025,987,63,27,25245
Kaski,2022,986,75,65,34071
Kaski,2022,986,61,96,40035
Kaski,2021,985,42,59,42361
Kaski,2020,983,132,59,12461
Kaski,2026,983,162,18,36619
Kaski,2020,983,176,84,28564
Kaski,2024,982,64,21,10790
Kaski,2021,982,126,82,40378
Kaski,2025,981,72,69,36785
Kaski,2021,981,115,12,18449
Kaski,2026,981,147,53,28144
Kaski,2024,980,150,39,32164
Kaski,2019,979,11,31,25761
Kaski,2022,979,65,68,5455
Kaski,2023,978,187,50,49987
Kaski,2023,978,83,73,18293
Kaski,2021,977,138,98,38117
Kaski,2025,977,91,38,49005
Kaski,2021,976,133,19,5248
Kaski,2026,975,155,51,33466
Kaski,2024,975,75,55,7397
Kaski,2023,975,102,83,42379
Kaski,2021,974,139,73,24072
Kaski,2022,974,159,88,36377
Kaski,2020,973,147,12,17930
Kaski,2022,973,85,66,10601
Kaski,2021,971,112,16,35261
Kaski,2019,970,176,90,35565
Kaski,2019,969,125,63,46373
Kaski,2021,969,124,31,24674
Kaski,2025,969,125,40,22873
Kaski,2026,968,75,33,35122
Kaski,2022,968,153,44,33140
Kaski,2023,967,11,80,27551
Kaski,2020,967,150,55,44781
Kaski,2020,966,53,80,45728
Kaski,2021,966,77,97,14424
Kaski,2024,966,63,59,27010
Kaski,2025,965,18,19,14071
Kaski,2023,965,71,83,16083
Kaski,2025,964,22,49,47361
Kaski,2022,964,196,23,23153
Kaski,2025,964,170,23,31825
Kaski,2022,963,30,22,11632
Kaski,2026,962,92,84,7536
Kaski,2025,962,29,52,17447
Kaski,2019,962,79,71,9964
Kaski,2026,961,135,40,35494
Kaski,2020,961,121,18,44346
Kaski,2026,961,108,46,11904
Kaski,2020,961,110,43,14386
Kaski,2021,960,73,79,42336
Kaski,2021,960,92,7,11541
Kaski,2022,960,187,21,39379
Kaski,2025,960,32,16,5513
Kaski,2025,960,86,40,7717
Kaski,2019,959,198,27,20485
Kaski,2023,959,75,32,27675
Kaski,2022,958,95,59,21607
Kaski,2026,958,128,5,31676
Kaski,2024,269,158,69,19368
Kaski,2019,371,50,83,18163
Kaski,2021,212,110,65,36177
Kaski,2024,559,110,70,39664
Kaski,2020,107,73,95,17968
Kaski,2022,413,166,84,42314
Kaski,2025,621,108,50,28388
Kaski,2025,311,51,80,41269
Kaski,2025,142,109,94,45841
Kaski,2026,401,48,87,15677
Kaski,2020,645,130,40,10665
Kaski,2022,730,58,70,32147
Kaski,2023,844,12,51,44855
Kaski,2020,802,150,70,35613
Kaski,2021,930,21,74,21902
Kaski,2024,495,99,39,38792
Kaski,2026,481,130,84,41707
Kaski,2021,849,171,5,29130
Kaski,2020,486,100,33,13131
Kaski,2025,383,158,56,15273
Kaski,2023,589,57,8,19790
Kaski,2021,545,155,23,5228
Kaski,2025,657,116,68,36485
Kaski,2020,230,55,18,36082
Kaski,2022,696,15,96,44736
Kaski,2024,789,27,12,31702
Kaski,2021,283,29,88,32264
Kaski,2020,598,117,81,13785
Kaski,2020,528,51,63,34127
Kaski,2023,829,42,36,11856
Kaski,2020,184,143,26,25298
Kaski,2019,633,109,72,35379
Kaski,2021,919,88,64,18444
Kaski,2021,835,58,42,17207
Kaski,2023,233,44,46,34289
Kaski,2023,269,167,34,44844
Kaski,2019,429,132,44,18385
Kaski,2019,442,169,21,37752
Kaski,2020,470,65,80,11866
Kaski,2019,82,79,74,27896
Kaski,2020,199,179,40,28659
Kaski,2020,201,110,56,34010
Kaski,2023,134,55,49,5278
Kaski,2025,910,133,10,32196
Kaski,2024,711,133,72,43296
Kaski,2020,723,151,49,26925
Kaski,2019,343,172,79,32614
Kaski,2026,892,13,44,10960
Kaski,2020,122,176,94,28455
Kaski,2023,720,113,38,13682
Kaski,2025,595,42,54,18929
Kaski,2021,103,20,39,25180
Kaski,2023,852,53,93,43111
Kaski,2025,654,142,81,14253
Kaski,2026,542,128,25,17325
Kaski,2025,830,37,61,8130
Kaski,2021,289,41,60,22519
Kaski,2026,626,92,20,17216
Kaski,2020,449,123,8,32668
Kaski,2025,723,192,6,43289
Kaski,2025,760,38,33,47161
Kaski,2021,907,199,24,15562
Kaski,2021,474,69,30,22144
Kaski,2023,95,120,11,33072
Kaski,2025,858,24,98,32418
Kaski,2025,85,110,42,18398
Kaski,2022,280,49,58,10263
Kaski,2021,864,121,70,39183
Kaski,2020,888,152,96,30961
Kaski,2023,801,94,28,11580
Kaski,2024,620,84,12,27633
Kaski,2019,745,16,31,8393
Kaski,2023,627,10,93,7241
Kaski,2026,337,60,63,38161
Kaski,2023,582,199,55,18856
Kaski,2023,601,176,79,12681
Kaski,2020,247,23,68,21393
Kaski,2019,852,57,60,29103
Kaski,2026,559,90,42,32340
Kaski,2022,416,121,63,20645
Kaski,2024,370,120,19,6012
Kaski,2025,89,128,87,5120
Kaski,2025,956,163,70,47594
Kaski,2021,239,15,28,5717
Kaski,2021,411,125,20,24638
Kaski,2025,631,170,21,10832
Kaski,2024,923,93,32,44729
Kaski,2022,257,19,21,31583
Kaski,2022,608,51,75,28616
Kaski,2022,178,58,93,49831
Kaski,2024,265,70,91,15772
Kaski,2023,170,117,24,13900
Kaski,2020,815,35,93,43959
Kaski,2024,521,115,49,20538
Kaski,2025,951,134,77,46218
Kaski,2020,168,153,18,30190
Kaski,2026,897,34,69,24772
Kaski,2019,595,197,76,15735
Kaski,2022,142,37,96,10787
Kaski,2023,141,82,87,9200
Kaski,2025,581,161,25,28864
Kaski,2023,460,149,18,22007
Kaski,2026,275,28,50,13428
Kaski,2025,810,106,29,23386
Kaski,2022,715,58,62,5933
Kaski,2023,902,112,99,35681
Kaski,2023,76,28,80,12509
Kaski,2025,229,60,53,16263
Kaski,2021,410,20,27,8993
Kaski,2024,941,127,48,9870
Kaski,2020,147,127,53,15758
Kaski,2024,531,165,44,14510
Kaski,2022,322,35,82,46979
Kaski,2023,451,53,20,12398
Kaski,2022,621,105,70,12453
Kaski,2021,272,68,54,19492
Kaski,2019,436,75,7,9253
Kaski,2019,354,15,74,46771
Kaski,2022,244,24,90,41457
Kaski,2022,564,72,54,48187
Kaski,2023,383,98,74,6106
Kaski,2024,890,70,61,8142
Kaski,2019,466,75,71,19459
Kaski,2026,896,103,73,20137
Kaski,2025,686,131,77,24874
Kaski,2026,528,144,92,37694
Kaski,2023,81,15,31,42771
Kaski,2025,150,42,73,38612
Kaski,2019,615,110,39,49162
Kaski,2020,389,77,48,10270
Kaski,2022,877,69,47,35984
Kaski,2019,426,146,99,13045
Kaski,2021,452,42,95,28691
Kaski,2020,62,134,46,47624
Kaski,2026,566,173,64,27121
Kaski,2024,581,36,11,41138
Kaski,2023,149,138,5,11296
Kaski,2024,798,153,59,48952
Kaski,2022,915,32,77,15295
Kaski,2022,649,105,34,36612
Kaski,2019,202,46,47,31849
Kaski,2024,547,120,58,18195
Kaski,2023,683,17,90,32235
Kaski,2019,391,165,32,37976
Kaski,2026,485,95,62,43459
Kaski,2020,265,32,15,7866
Kaski,2024,591,74,10,16960
Kaski,2023,581,14,8,47379
Kaski,2026,405,157,98,10166
Kaski,2021,554,30,18,23232
Kaski,2021,697,126,51,46559
Kaski,2021,605,160,94,28130
Kaski,2026,323,10,7,15398
Kaski,2023,372,87,11,26071
Kaski,2024,700,138,24,49352
Kaski,2021,757,53,63,30540
Kaski,2024,547,88,48,25076
Kaski,2026,147,116,29,41307
Kaski,2024,398,144,46,45415
Kaski,2025,356,66,24,35514
Kaski,2019,239,170,76,14268
Kaski,2021,619,13,41,37705
Kaski,2021,581,30,50,44221
Kaski,2021,932,81,54,13262
Kaski,2019,942,48,8,45866
Kaski,2025,257,107,14,30869
Kaski,2023,480,49,20,36072
Kaski,2023,222,32,58,15203
Kaski,2020,393,170,75,32479
Kaski,2026,534,25,96,37665
Kaski,2020,114,194,9,11394
Kaski,2022,908,88,99,11618
Kaski,2023,416,158,56,45949
Kaski,2026,265,148,35,6067
Kaski,2026,563,172,64,36103
Kaski,2022,670,105,84,14100
Kaski,2021,280,27,63,18539
Kaski,2023,777,16,87,5803
Kaski,2023,281,111,94,7879
Kaski,2023,688,106,58,9246
Kaski,2023,394,69,22,37159
Kaski,2025,812,175,88,35421
Kaski,2024,416,121,39,14439
Kaski,2024,546,27,44,27307
Kaski,2024,371,195,36,8400
Kaski,2020,338,68,29,45025
Kaski,2022,874,194,17,29279
Kaski,2025,909,190,82,28436
Kaski,2020,796,119,98,32663
Kaski,2022,419,55,55,10044
Kaski,2021,774,160,9,13575
Kaski,2019,101,120,79,39650
Kaski,2021,397,84,11,21100
Kaski,2025,309,40,26,25680
Kaski,2021,179,46,30,19631
Kaski,2023,570,131,75,25029
Kaski,2025,543,185,97,34122
Kaski,2022,179,35,49,41070
Kaski,2026,106,96,69,21264
Kaski,2021,622,142,51,38428
Kaski,2020,509,91,57,20714
Kaski,2021,465,141,32,17034
Kaski,2024,141,43,98,10318
Kaski,2024,203,100,94,7444
Kaski,2024,581,27,18,38531
Kaski,2020,649,95,78,30107
Kaski,2020,51,24,90,43302
Kaski,2019,945,67,6,36622
Kaski,2021,413,130,15,24663
Kaski,2022,866,71,86,13279
Kaski,2020,686,74,59,46348
Kaski,2019,733,27,60,36654
Kaski,2022,125,46,74,35240
Kaski,2026,326,35,32,9562
Kaski,2026,238,191,45,19879
Kaski,2021,226,191,57,44417
Kaski,2020,198,38,44,24241
Kaski,2026,183,145,43,11393
Kaski,2024,141,196,88,37095
Kaski,2024,486,91,14,19106
Kaski,2025,451,73,15,22579
Kaski,2019,956,93,52,22635
Kaski,2021,85,53,58,18682
Kaski,2024,332,27,84,30435
Kaski,2020,446,170,7,30936
Kaski,2023,262,61,16,38131
Kaski,2026,327,182,27,28914
Kaski,2023,908,193,42,22375
Kaski,2026,855,98,39,36359
Kaski,2019,400,192,96,13259
Kaski,2026,784,73,60,24284
Kaski,2022,808,100,68,7143
Kaski,2025,326,170,91,48996
Kaski,2023,184,95,65,27427
Kaski,2024,633,14,25,36116
Kaski,2023,423,100,63,5907
Kaski,2020,292,73,74,47197
Kaski,2024,386,107,53,44249
Kaski,2021,192,45,16,49698
Kaski,2020,573,71,16,29562
Kaski,2024,909,46,51,20758
Kaski,2022,877,20,43,29870
Kaski,2024,773,121,46,18982
Kaski,2023,513,89,87,13703
Kaski,2025,286,47,57,8243
Kaski,2021,949,122,8,12617
Kaski,2019,809,45,44,36355
Kaski,2019,708,193,61,12351
Kaski,2019,497,72,50,17105
Kaski,2024,50,15,72,45312
Kaski,2021,346,146,62,5652
Kaski,2026,404,12,51,37452
Kaski,2025,436,23,8,14439
Kaski,2022,220,31,99,43280
Kaski,2022,390,164,44,36360
Kaski,2025,804,174,85,15436
Kaski,2026,280,93,64,11616
Kaski,2026,540,110,15,17483
Kaski,2024,395,66,43,20922
Kaski,2022,538,53,38,26655
Kaski,2021,538,89,62,42253
Kaski,2021,907,168,16,47767
Kaski,2022,878,60,45,27775
Kaski,2019,929,19,39,26983
Kaski,2025,279,48,90,27095
Kaski,2021,845,168,14,8225
Kaski,2019,201,36,24,26849
Kaski,2026,287,65,82,14318
Kaski,2021,708,118,27,20665
Kaski,2022,333,109,96,18169
Kaski,2022,594,33,61,35993
Kaski,2025,577,133,22,25145
Kaski,2019,745,139,53,41585
Kaski,2025,324,106,71,46478
Kaski,2021,441,172,27,30027
Kaski,2024,609,73,14,37026
Kaski,2026,265,147,69,27814
Kaski,2026,790,180,88,31298
Kaski,2019,893,48,71,8737
Kaski,2020,340,159,72,26779
Kaski,2026,610,138,15,22688
Kaski,2025,670,12,23,26352
Kaski,2023,832,119,24,47479
Kaski,2020,306,127,16,6955
Kaski,2022,896,178,92,38220
Kaski,2025,242,155,72,14765
Kaski,2021,89,107,26,17270
Kaski,2023,50,34,85,23578
Kaski,2019,308,175,28,13659
Kaski,2023,621,17,5,26145
Kaski,2024,710,130,88,34902
Kaski,2024,251,76,18,21564
Kaski,2021,704,16,91,38661
Kaski,2026,69,123,58,19100
Kaski,2020,284,145,22,32903
Kaski,2020,875,78,47,7571
Kaski,2026,693,151,50,18175
Kaski,2021,643,34,32,23383
Kaski,2020,710,53,52,44414
Kaski,2020,871,169,76,32966
Kaski,2023,881,85,36,24844
Kaski,2021,593,18,7,18462
Kaski,2025,495,123,92,28487
Kaski,2026,463,78,92,28865
Kaski,2022,577,36,30,25059
Kaski,2025,515,151,96,11716
Kaski,2021,832,97,14,23055
Kaski,2019,199,175,82,40637
Kaski,2020,379,69,91,36479
Kaski,2023,818,160,10,47936
Kaski,2019,368,55,12,30167
Kaski,2026,581,122,86,5396
Kaski,2026,950,66,81,17360
Kaski,2022,107,95,78,38993
Kaski,2025,698,187,9,39116
Kaski,2026,797,156,14,25542
